Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
2020-01-01,457.8,316.1,114.4,88.3,81.9,42.9,7.43,35.3,94.9,2.58,3.18,7.04,311.3,Very Poor
2020-01-02,171.9,110.6,36.1,87.6,67.7,2.7,3.39,4.5,188.4,8.45,3.86,7.14,418.2,Moderate
2020-01-03,54.5,342.8,110.8,86.6,172.9,47.7,1.88,89.2,72.8,6.44,21.79,9.07,381.8,Satisfactory
2020-01-04,360.7,467.9,101.5,92.5,45.9,12.0,5.44,62.8,178.4,5.48,15.48,5.77,89.6,Poor
2020-01-05,299.4,90.7,188.0,111.4,78.4,37.9,9.41,6.9,58.4,15.91,20.8,4.23,232.2,Good
2020-01-06,285.6,166.9,40.3,149.3,191.0,1.0,5.89,34.8,24.9,13.84,29.78,8.13,117.5,Very Poor
2020-01-07,134.1,397.9,10.8,35.6,126.6,28.0,6.94,58.6,108.7,11.08,9.02,1.2,251.6,Moderate
2020-01-08,490.5,43.3,108.2,9.9,80.9,43.0,7.18,88.1,105.9,0.13,13.71,4.69,267.4,Severe
2020-01-09,99.3,75.8,127.8,86.2,34.1,44.3,2.6,1.0,135.8,4.21,7.53,9.67,159.7,Poor
2020-01-10,169.3,141.1,186.6,63.0,140.1,38.0,4.26,15.3,68.8,3.53,3.38,3.98,252.9,Good
2020-01-11,212.1,505.5,113.2,62.4,109.2,12.6,1.82,18.6,26.9,12.58,4.82,8.5,447.0,Poor
2020-01-12,170.6,463.1,166.1,86.4,65.1,3.6,4.54,5.3,129.8,1.17,3.81,2.72,73.5,Very Poor
2020-01-13,418.7,504.4,123.7,113.3,116.1,39.1,2.97,25.9,171.1,3.58,6.57,8.27,246.0,Moderate
2020-01-14,185.1,38.3,99.3,142.4,229.7,22.7,3.68,18.2,114.2,2.41,10.03,1.35,234.9,Moderate
2020-01-15,299.4,143.8,123.3,108.6,9.8,23.9,8.98,47.8,7.2,6.07,20.43,1.06,447.4,Moderate
2020-01-16,282.9,337.1,173.6,81.2,188.8,42.8,4.36,65.5,127.5,11.66,16.93,6.71,169.8,Moderate
